day_name,hour,nombre_trajets,tarif_moyen,distance_moyenne,vitesse_moyenne,pourboire_pct_moyen
Dimanche,0,17427,16.630250186492223,4.887799311539592,20.6512308396699,21.88329983908755
Dimanche,1,13655,14.936253387037727,4.218032407835972,20.188563191750745,22.377456107817153
Dimanche,2,10351,14.601742826780022,4.14499813088592,20.61603972627743,22.128618528888964
Dimanche,3,6322,15.076298639671007,4.399083286934519,22.070912999232807,22.041695471798754
Dimanche,4,3060,18.74137908496732,5.9206987486274505,25.947357289370856,19.45565621779278
Dimanche,5,1360,31.121889705882356,11.138490641029406,36.24057971605227,16.262055287449385
Dimanche,6,2158,27.924063948100077,10.165286483966634,34.62431941665848,16.1488556323545
Dimanche,7,3728,24.113964592274684,8.328688485729625,31.624531660583585,17.954333077154203
Dimanche,8,6042,19.030205230056268,6.268600377821923,27.290365042970937,19.8579234524884
Dimanche,9,9622,17.547923508626056,5.621704607025587,25.375981205689676,20.845521330738574
Dimanche,10,14083,16.3444734786622,5.005739908726852,22.932452125754622,21.138121331736734
Dimanche,11,17279,15.897382371665026,4.628356220950315,20.508421170326308,21.29811643806357
Dimanche,12,19502,16.663196595221002,4.764476569233944,19.310849815268696,20.858717092826648
Dimanche,13,20353,17.586323392128914,5.035696261465155,18.689522410758883,20.83873545991653
Dimanche,14,20556,19.01289793734192,5.5734412976649494,18.782723528760677,20.638685966790465
Dimanche,15,20140,19.38346375372395,5.742734016266163,18.830597466536844,20.537898639754907
Dimanche,16,20347,20.022781736865408,6.014341734162317,18.870030569689998,20.67883752844695
Dimanche,17,19771,19.313252743917847,5.707507908097743,18.580213938992927,20.809646594739483
Dimanche,18,18696,18.367545999144195,5.455031638179315,19.51443170288851,21.016463662603417
Dimanche,19,15420,20.216154345006487,6.476249252321673,22.23166056997259,20.87144967673369
Dimanche,20,14060,20.511278093883373,6.719071189743977,24.162796378207663,22.034809329328183
Dimanche,21,13297,21.710389561555225,7.33961794731145,25.942746379466033,21.759347347166177
Dimanche,22,10825,23.685793995381083,8.241014610642049,28.31331445421806,21.239163326830603
Dimanche,23,7963,24.629414793419553,8.695953390681913,30.785539787109165,20.63680476198068
Jeudi,0,5201,23.02595077869643,7.9266415650836475,27.759273618845555,19.907662203725717
Jeudi,1,2400,19.049933333333325,6.2498450676666675,26.64598652498606,20.01907075165798
Jeudi,2,1336,19.00744760479042,6.240529044910172,26.76622601114217,18.9638398550475
Jeudi,3,935,24.295069518716573,8.367879512299464,30.505379484917853,18.030088068721803
Jeudi,4,910,28.11797802197802,10.12266017472527,33.63001463344003,18.254534612405273
Jeudi,5,2190,26.082031963470314,9.462948594337908,29.868415519361484,18.14174644390824
Jeudi,6,5760,20.39362326388888,6.912366759375019,23.695677912432792,18.375862939191606
Jeudi,7,12557,17.330279525364308,5.0801097756630185,18.739016590717643,20.341936801013095
Jeudi,8,17954,16.974014147265247,4.475486337339908,15.498706659866452,20.84985046529722
Jeudi,9,19020,17.3319989484753,4.419342406603611,15.21573196490303,20.7146125939367
Jeudi,10,19019,18.458103475471887,4.758191110563152,15.086074105096268,19.81242748732564
Jeudi,11,19503,18.4875167922884,4.666121369707263,14.624962202309757,19.387590402684914
Jeudi,12,20797,18.620215415684953,4.862950810982396,15.104947506234264,19.52538129371892
Jeudi,13,21300,19.27873239436619,5.147471723323969,15.419245747881778,19.488826292085356
Jeudi,14,23392,19.9870908857729,5.442753893425147,15.25258440246826,19.778131319640504
Jeudi,15,25251,19.55192784444183,5.309213998408016,15.002946450516163,19.880340094439244
Jeudi,16,25406,19.684774069117523,5.383878916035609,15.213279804522335,22.493924853641385
Jeudi,17,29047,18.19630254415255,4.7520662659621085,14.643611739808625,23.52453150141967
Jeudi,18,31349,16.73994353886887,4.373051999636398,15.440758944295528,24.063717226173424
Jeudi,19,27057,17.444310529622662,4.973838444905223,18.10657518969681,24.215857985328096
Jeudi,20,24477,17.88635045144419,5.28579198633005,19.881300492835813,22.589974609350335
Jeudi,21,25333,17.96528243792679,5.380951819058172,20.642345623877173,22.51568763758912
Jeudi,22,22016,18.40028343023254,5.60056679583033,21.358455804312616,22.380022516780375
Jeudi,23,14919,20.020249346470926,6.427302029519409,23.586708318374534,21.718806995825357
Lundi,0,10263,22.218732339471867,6.869728800077981,24.95597022717093,20.30448184250861
Lundi,1,7730,19.504826649417843,5.601691988020731,21.283700251708968,20.864444162304633
Lundi,2,6515,18.280122793553378,5.213515597421358,21.44512467123504,21.535719305668664
Lundi,3,4611,18.701260030362178,5.629206761396673,22.947349207200887,20.600191213579496
Lundi,4,2865,21.611584642233858,7.008178574031426,27.38375255752601,20.73012617666005
Lundi,5,2934,26.244049079754614,9.425038824948889,30.597649208262474,18.34811663184748
Lundi,6,5842,23.57849366655258,8.212727580383438,26.253627221150293,17.82648930794162
Lundi,7,11114,19.63182472557136,6.189820802897265,21.653218007511068,19.733592445680568
Lundi,8,15330,18.42998499673847,5.281755199008503,18.363518833683223,20.307814032559172
Lundi,9,16844,18.89374317264304,5.345065858311595,18.514554087696585,20.031133775667534
Lundi,10,17803,19.33419648373869,5.607745817581344,19.027230766480525,19.48109662258122
Lundi,11,19134,18.238619211874166,5.215156518866978,18.1613305398945,19.64089852929632
Lundi,12,21067,18.158282147434377,5.226638552902692,18.372393958079634,19.831535433814782
Lundi,13,22300,19.236423318385633,5.710584942708541,18.672835498135875,19.846728018927376
Lundi,14,24586,20.282536809566405,6.002714485178573,18.15230426416125,19.80775797742789
Lundi,15,25008,19.56339691298776,5.707948911140448,17.606540531783875,19.724132479481554
